species_code,marine_species_name,marine_species_definition,WoRMS_AphiaID,taxonomic_source,kingdom,phylum,class,order,family,genus,species,load_date
LICHEN,lichen,lichen,382455,World Register of Marine Species: www.marinespecies.org,Fungi,(Division) Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,NULL,NULL,2023-10-24
LIGOCC,ligia spp,ligia occidentalis,146998,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,NULL,2023-10-24
LIMPET,limpets,all species of limpets through spring 2002; all limpets other than lottia gigantea from fall 2002 to present,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,2023-10-24
LIMPLG,limpets over 15 mm in size,limpets over 15 mm in size other than lottia gigantea,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,2023-10-24
LIMUNS,limpets unsized on all substrate,limpets of all sizes on all substrate types,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,2023-10-24
LIRDIR,lirabuccinum dirum,lirabuccinum dirum,491076,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Tudiclidae,Lirabuccinum,Lirabuccinum dirum,2023-10-24
LITSPP,littorina spp,littorina spp,138135,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,NULL,2023-10-24
LITUND,megastraea undosa,prev. lithopoma undosum; currently megastraea undosa,413410,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Lithopoma,Lithopoma undosum,2023-10-24
LMDALL,limpets 5-15 mm in size on all substrate,limpets 5-15 mm in size on all substrate (other than lottia gigantea),391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,2023-10-24
LMDMUS,limpets 5-15 mm in size on mussels,limpets 5-15 mm in size on mussels,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,2023-10-24
LMDROC,limpets 5-15 mm in size on rock,limpets 5-15 mm in size on rock,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,2023-10-24
LOMHAK,lomentaria hakodatensis,lomentaria hakodatensis,232230,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Rhodymeniales,Lomentariaceae,Lomentaria,Lomentaria hakodatensis,2023-10-24
LOTGIG,lottia gigantea,lottia gigantea,456593,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,Lottia gigantea,2023-10-24
LOTSCA,lottia scabra; lottia conus,lottia scabra; lottia conus; added for collections only,160336,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,2023-10-24
LOTSPP,lottia spp,lottia spp  other than lottia gigantea,160336,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,2023-10-24
LSMALL,limpets under 5 mm in size on all substrate,limpets under 5 mm in size on all substrate,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,2023-10-24
LSMMUS,limpets under 5 mm in size on mussels,limpets under 5 mm in size on mussels,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,2023-10-24
LSMROC,limpets under 5 mm in size on rock,limpets under 5 mm in size on rock,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,2023-10-24
MACLIV,macron lividus,macron lividus,489193,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,[unassigned] Buccinoidea,Macron,Macron lividus,2023-10-24
MACSPP,macrocystis pyrifera,macrocystis pyrifera; added for collections only,232231,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis pyrifera,2023-10-24
MASSPP,mastocarpus spp,mastocarpus papillatus/jardinii,144163,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Mastocarpus,NULL,2023-10-24
MAZAFF,mazzaella affinis,mazzaella affinis,371703,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella affinis,2023-10-24
MAZLEP,mazzaella leptorhynchos,mazzaella leptorhynchos,371705,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella leptorhynchos,2023-10-24
MAZPAR,mazzaella parksii,mazzaella parksii,376220,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella parksii,2023-10-24
MAZSPP,mazzaella spp,mazzaella spp (=iridaea spp),369878,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,NULL,2023-10-24
MEXLUG,mexacanthina lugubris,mexacanthina lugubris,404505,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Mexacanthina,Mexacanthina lugubris,2023-10-24
MICBOR,microcladia borealis,microcladia borealis,372610,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Microcladia,Microcladia borealis,2023-10-24
MOPSPP,mopalia spp,mopalia spp,385567,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,NULL,2023-10-24
MYTCAL,mytilus californianus,primarily mytilus californianus; but may include m. trossulus/galloprovincialis; septifer; and brachydontes where photoplots scored in lab or where juvenile species were too small to id in the field,367837,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus californianus,2023-10-24
MYTPOL,mytilus californianus; pollicipes polymerus,mytilus californianus; pollicipes polymerus; combined for use in lottia cover data,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
MYTTRO,mytilus trossulus; galloprovincialis; edulis,mytilus trossulus,138228,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,NULL,2023-10-24
NEMHEL,nemalion elminthoides,nemalion helminthoides,145765,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Nemaliales,Nemaliaceae,Nemalion,Nemalion elminthoides,2023-10-24
NEOLAR,neorhodomela larix,neorhodomela larix,372616,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neorhodomela,Neorhodomela larix,2023-10-24
NEOODO,neorhodomela oregona/odonthalia floccosa,neorhodomela oregona/odonthalia spp,143674,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,NULL,NULL,2023-10-24
NERLUE,nereocystis luetkeana,nereocystis luetkeana,240752,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Nereocystis,Nereocystis luetkeana,2023-10-24
NONCRU,non-coralline crusts,any thin; flattened; crust-like algae other than coralline crusts,3,World Register of Marine Species: www.marinespecies.org,Plantae,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
NONE,none,no additional species found on point,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
NORNOR,norrisia norrisi,norrisia norrisi,534181,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Norrisia,Norrisia norrisii,2023-10-24
NUCCAN,nucella canaliculata,nucella canaliculata,404205,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,Nucella canaliculata,2023-10-24
NUCEMA,nucella emarginata; nucella ostrina,nucella emarginata/ostrina,138199,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,NULL,2023-10-24
NUCLAM,nucella lamellosa,nucella lamellosa,404218,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,Nucella lamellosa,2023-10-24
NUCLIM,nucella lima,nucella lima,404384,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,Nucella lima,2023-10-24
NUCSPP,nucella spp,nucella spp,138199,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,NULL,2023-10-24
NUTSPP,nuttallina spp,nuttallina spp,385576,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Nuttallina,NULL,2023-10-24
OCECIR,ocenebra circumtexta,ocenebra circumtexta,463980,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocenebra,Ocenebra circumtexta,2023-10-24
OCEINT,ocenebra interfossa,ocenebra interfossa,403751,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocinebrina,Ocinebrina interfossa,2023-10-24
OCELUR,ocinebrina lurida,ocenebra lurida,403752,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocinebrina,Ocinebrina lurida,2023-10-24
OCEPOU,roperia poulsoni,ocenebra poulsoni,404119,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Roperia,Roperia poulsoni,2023-10-24
OCESPP,ocenebra spp,ocenebra spp,138200,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocenebra,NULL,2023-10-24
ODOFLO,odonthalia floccosa,odonthalia floccosa,372621,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Odonthalia,Odonthalia floccosa,2023-10-24
OKEROS,okenia rosacea,okenia rosacea,599485,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Goniodorididae,Okenia,Okenia rosacea,2023-10-24
ONCBIL,onchidoris bilamellata,onchidoris bilamellata,150457,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Onchidoris,Onchidoris bilamellata,2023-10-24
ONCBOR,onchidella borealis,onchidella borealis,446167,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Systellommatophora,Onchidiidae,Onchidella,Onchidella borealis,2023-10-24
OPAREC,opaleye recruits,juvenile opaleye,280865,World Register of Marine Species: www.marinespecies.org,Animalia,Chordata,Teleostei,Centrarchiformes,Kyphosidae,Girella,Girella nigricans,2023-10-24
OPASPP,opalia spp,opalia spp.,137948,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Opalia,NULL,2023-10-24
OPHSPP,ophlitaspongia spp,ophlitaspongia spp,131873,World Register of Marine Species: www.marinespecies.org,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Ophlitaspongia,NULL,2023-10-24
ORTKOE,orthasterias koehleri,orthasterias koehleri,255048,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,Orthasterias koehleri,2023-10-24
OSMLAU,osmundea spp; laurencia spp,osmundea/laurencia spp,494006,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,NULL,NULL,2023-10-24
OSMSPP,osmundea spp,osmundea spp,143921,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Osmundea,NULL,2023-10-24
OTHALG,other algae; other plants,algae/plants that cannot be identified to species or group,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
OTHBAR,other barnacle,barnacle other than chthamalus spp; balanus glandula; pollicipes;tetraclita; or semibalanus,1082,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Thecostraca,NULL,NULL,NULL,NULL,2023-10-24
OTHBRO,other brown algae,brown algae other than those scored separately (varies by group and over time),7,World Register of Marine Species: www.marinespecies.org,Chromista,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
OTHER,other algae; other plant; other animal,unidentified algae/plant/animal,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
OTHGRE,other green algae,green algae other than those scored separately (varies by group and over time),801,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Chlorophyta,NULL,NULL,NULL,NULL,NULL,2023-10-24
OTHINV,other invertebrates,invertebrates other than those scored separately (varies by group and over time),2,World Register of Marine Species: www.marinespecies.org,Animalia,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
OTHMOL,other molluscs,unidentified mollusc,51,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,NULL,NULL,NULL,NULL,NULL,2023-10-24
OTHRED,other red algae,red algae other than those scored separately (varies by group and over time),852,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,NULL,NULL,NULL,NULL,NULL,2023-10-24
OTHSEA,other sea star,sea star other than those species scored separately; may vary by group but generally other than PISOCH; HENSPP; LEPTAS; PATMIN,123080,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,NULL,NULL,NULL,NULL,2023-10-24
OTHSPO,other sponge,sponge other than haliclonia--others?,558,World Register of Marine Species: www.marinespecies.org,Animalia,Porifera,NULL,NULL,NULL,NULL,NULL,2023-10-24
OTHSUB,other substrate,substrate other than rock or sand; includes dead barnacles; mussels; etc. where these are not scored separately,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
PACCRA,pachygrapsus crassipes,pachygrapsus crassipes,395016,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus,Pachygrapsus crassipes,2023-10-24
PACSPP,pachycheles spp,pachycheles spp,205958,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Pachycheles,NULL,2023-10-24
PAGBER,pagurus beringanus,pagurus beringanus,366657,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus beringanus,2023-10-24
PAGGRA,pagurus granosimanus,pagurus granosimanus,366694,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus granosimanus,2023-10-24
PAGHIR,pagurus hirsutiusculus,pagurus hirsutiusculus,366699,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus hirsutiusculus,2023-10-24
PAGSAM,pagurus samuelis,pagurus samuelis,366786,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus samuelis,2023-10-24
PAGSPP,pagurus spp,pagurus species other than p. beringanus; p. granosimanus; p. hirsutiusculus; or p. samuelis; may include juveniles of any pagurus species,106854,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,NULL,2023-10-24
PATMIN,patiria miniata,patiria miniata,382131,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Patiria miniata,2023-10-24
PELHYB,pelvetiopsis hybrida,pelvetiopsis hybrida,370005,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Pelvetiopsis,NULL,2023-10-24
PELLIM,pelvetiopsis limitata,pelvetiopsis limitata,372511,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Pelvetiopsis,Pelvetiopsis limitata,2023-10-24
PETROC,petrocelis,petrocelis phase of mastocarpus spp.,144163,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Mastocarpus,NULL,2023-10-24
PETRUG,petrospongium rugosum,petrospongium rugosum,371938,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Petrospongiaceae,Petrospongium,Petrospongium rugosum,2023-10-24
PETSPP,petrolisthes spp,petrolisthes spp,206848,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolisthes,NULL,2023-10-24
PHRSAB,phragmatopoma spp; sabellaria spp,phragmatopoma californica at sites south of Bodega; but may include other species of sabellaridae at more northern sites,979,World Register of Marine Species: www.marinespecies.org,Animalia,Annelida,Polychaeta,NULL,Sabellariidae,NULL,NULL,2023-10-24
PHYEGR,phyllospadix on egregia,phyllospadix overlaying egregia; used for short period in transects,370041,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,NULL,2023-10-24
PHYSCO,phyllospadix scouleri,phyllospadix scouleri,374707,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,Phyllospadix scouleri,2023-10-24
PHYSCP,percentage of phyllospadix scouleri,qualitative estimate of percent cover of p. scouleri along transect,374707,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,Phyllospadix scouleri,2023-10-24
PHYSPP,phyllospadix spp,primarily phyllospadix scouleri/torreyi overstory but includes p. serrulatus at northern sites,370041,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,NULL,2023-10-24
PHYTOP,percentage of phyllospadix torreyi,qualitative estimate of percent cover of p. torreyi along transect,374709,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,Phyllospadix torreyi,2023-10-24
PHYTOR,phyllospadix torreyi,phyllospadix torreyi,374709,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,Phyllospadix torreyi,2023-10-24
PHYUND,phyllospadix spp understory,phyllospadix spp occurring under other species of algae/plants,370041,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,NULL,2023-10-24
PISBRE,pisaster brevispinus,pisaster brevispinus,240757,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster brevispinus,2023-10-24
PISGIG,pisaster giganteus,pisaster giganteus,240758,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster giganteus,2023-10-24
PISOCH,pisaster ochraceus,pisaster ochraceus,240755,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus,2023-10-24
PLOCAR,plocamium pacificum,plocamium cartilagineum,495874,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,Plocamium cartilagineum,2023-10-24
PLOSPP,plocamium spp,plocamium spp,144223,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,NULL,2023-10-24
PLOVIO,plocamium violaceum,plocamium violaceum,372633,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,Plocamium violaceum,2023-10-24
POLPOL,pollicipes polymerus,pollicipes polymerus,535329,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Pollicipedomorpha,Pollicipedidae,Pollicipes,Pollicipes polymerus,2023-10-24
POLSPP,polysiphonia spp,polysiphonia spp,143853,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,NULL,2023-10-24
PORSPP,pyropia spp,porphyra spp,603075,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,NULL,2023-10-24
POSPAL,postelsia palmaeformis,postelsia palmaeformis,372518,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Postelsia,Postelsia palmaeformis,2023-10-24
PRISPP,prionitis spp,prionitis spp,144044,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Halymeniales,Grateloupiaceae,Grateloupia,NULL,2023-10-24
PSERRU,phyllospadix serrulatus,phyllospadix serrulatus,374708,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,Phyllospadix serrulatus,2023-10-24
PTEROS,pterosiphonia spp,pterosiphonia spp,143922,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Pterosiphonia,NULL,2023-10-24
PTESPP,pterocladiella spp,pterocladiella spp,144137,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gelidiales,Pterocladiaceae,Pterocladiella,NULL,2023-10-24
PUGSPP,pugettia spp,pugettia spp,240779,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,NULL,2023-10-24
PYCHEL,pycnopodia helianthoides,pycnopodia helianthoides,240764,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,Pycnopodia helianthoides,2023-10-24
RECOVE,recovery,recovery,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
ROCK,rock,bare; unconsolidated substrates larger than sand/gravel (including cobble; rocks; and boulders) and all consolidated substrates (i.e.; bedrock) that contain no obvious living organisms or tar (epoxy corner markers and blue-green algal films are scored as ,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
SAND,sand,granular; particulate (fine sand to gravel) substrate. Photoplots: score ,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
SARAGA,sargassum agardhianum,sargassum agardhianum,494906,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum agardhianum,2023-10-24
SARHOR,sargassum horneri,sargassum horneri,494853,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum horneri,2023-10-24
SARMUT,sargassum muticum,sargassum muticum,494791,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum muticum,2023-10-24
SCULPI,sculpins,sculpin,154417,World Register of Marine Species: www.marinespecies.org,Animalia,Chordata,Teleostei,Perciformes,NULL,NULL,NULL,2023-10-24
SCYSPP,scytosiphon spp; melanosiphon spp,scytosiphon spp; melanosiphon spp\n,830,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,NULL,NULL,NULL,NULL,2023-10-24
SEMBAL,balanus glandula; semibalanus balanoides,balanus glandula/semibalanus balanoides; unique to Sitka sites; made inactive so new code could be used (BALSEM),106041,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,NULL,NULL,NULL,2023-10-24
SEMCAR,semibalanus cariosus,semibalanus cariosus,594746,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,Semibalanus cariosus,2023-10-24
SEPBIF,mytilisepta bifurcata,prev. septifer bifurcatus; mytilisepta bifurcata,546021,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Septifer,Septifer bifurcatus,2023-10-24
SEPBRA,mytilisepta bifurcata; brachidontes adamsianus,septifer bifurcatus/brachydontes adamsianus,211,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,NULL,NULL,2023-10-24
SILCOM,silvetia compressa,silvetia compressa,374120,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Silvetia,Silvetia compressa,2023-10-24
SILHES,silvetia compressa; hesperophycus californicus,silvetia compressa/hesperophycus californicus,143723,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,NULL,NULL,2023-10-24
SPISPP,spirorbis spp,any species in the subfamily Spirorbinae,129642,World Register of Marine Species: www.marinespecies.org,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirorbis,NULL,2023-10-24
STRDRO,strongylocentrotus droebachiensis,strongylocentrotus droebachiensis,124321,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus droebachiensis,2023-10-24
STRFRA,strongylocentrotus franciscanus,strongylocentrotus franciscanus,591102,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Mesocentrotus franciscanus,2023-10-24
STRPUR,strongylocentrotus purpuratus,strongylocentrotus purpuratus,240747,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus purpuratus,2023-10-24
TAOLEN,taonia lennebackerae,taonia lennebackerae,372695,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Taonia,Taonia lennebackerae,2023-10-24
TAR,tar,fresh or weathered oil or tar coating on the substrate,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
TEGAUR,tegula aureotincta,tegula aureotincta,534186,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula aureotincta,2023-10-24
TEGBRU,tegula brunnea,tegula brunnea,534187,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula brunnea,2023-10-24
TEGEIS,tegula eiseni,tegula eiseni,413469,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula eiseni,2023-10-24
